"","response","age","whitecollar","bluecollar","other_job","divorced","married","single","primary","secondary","tertiary","unknown_edu"
"1","No",30,0,0,1,0,1,0,1,0,0,0
"4","No",30,1,0,0,0,1,0,0,0,1,0
"5","No",59,0,1,0,0,1,0,0,1,0,0
"8","No",39,0,1,0,0,1,0,0,1,0,0
"9","No",41,1,0,0,0,1,0,0,0,1,0
"11","No",39,0,1,0,0,1,0,0,1,0,0
"12","No",43,1,0,0,0,1,0,0,1,0,0
"13","No",36,0,1,0,0,1,0,0,0,1,0
"14","Yes",20,0,0,1,0,0,1,0,1,0,0
"16","No",40,1,0,0,0,1,0,0,0,1,0
"17","No",56,0,1,0,0,1,0,0,1,0,0
"19","No",25,0,1,0,0,0,1,1,0,0,0
"21","No",38,1,0,0,1,0,0,0,0,0,1
"22","No",42,1,0,0,1,0,0,0,0,1,0
"23","No",44,0,1,0,0,0,1,0,1,0,0
"24","No",44,1,0,0,0,1,0,0,1,0,0
"25","No",26,0,0,1,0,1,0,0,0,1,0
"26","No",41,1,0,0,0,1,0,0,0,1,0
"27","No",55,0,1,0,0,1,0,1,0,0,0
"29","No",56,1,0,0,0,1,0,0,1,0,0
"30","No",53,1,0,0,0,1,0,0,1,0,0
"31","Yes",68,0,0,1,1,0,0,0,1,0,0
"32","No",31,0,1,0,0,1,0,0,1,0,0
"33","No",59,1,0,0,0,1,0,0,1,0,0
"34","Yes",32,1,0,0,0,0,1,0,0,1,0
"35","Yes",49,0,1,0,0,1,0,0,0,1,0
"36","No",42,1,0,0,1,0,0,0,1,0,0
"37","Yes",78,0,0,1,1,0,0,1,0,0,0
"38","Yes",32,0,1,0,0,1,0,0,1,0,0
"40","No",23,0,1,0,0,0,1,0,0,1,0
"42","No",36,1,0,0,0,0,1,0,0,1,0
"43","No",52,0,1,0,0,1,0,0,1,0,0
"44","No",32,0,1,0,0,1,0,0,0,1,0
"45","No",32,0,1,0,0,0,1,0,0,1,0
"46","No",34,1,0,0,0,0,1,0,0,1,0
"48","No",26,0,1,0,0,1,0,1,0,0,0
"49","No",32,1,0,0,0,0,1,1,0,0,0
"51","Yes",45,0,1,0,1,0,0,1,0,0,0
"52","No",37,0,1,0,0,0,1,0,1,0,0
"53","No",38,0,1,0,0,0,1,0,1,0,0
"55","No",53,0,1,0,0,1,0,0,1,0,0
"56","No",48,1,0,0,0,1,0,0,1,0,0
