"","y","age","jobtype","marital","education","default","balance","housing","loan"
"1","No",30,"Other/Unknown","Married","Primary","No",1787,"No","No"
"4","No",30,"White Collar","Married","Tertiary","No",1476,"Yes","Yes"
"5","No",59,"Blue Collar","Married","Secondary","No",0,"Yes","No"
"8","No",39,"Blue Collar","Married","Secondary","No",147,"Yes","No"
"9","No",41,"White Collar","Married","Tertiary","No",221,"Yes","No"
"11","No",39,"Blue Collar","Married","Secondary","No",9374,"Yes","No"
"12","No",43,"White Collar","Married","Secondary","No",264,"Yes","No"
"13","No",36,"Blue Collar","Married","Tertiary","No",1109,"No","No"
"14","Yes",20,"Other/Unknown","Single","Secondary","No",502,"No","No"
"16","No",40,"White Collar","Married","Tertiary","No",194,"No","Yes"
"17","No",56,"Blue Collar","Married","Secondary","No",4073,"No","No"
"19","No",25,"Blue Collar","Single","Primary","No",-221,"Yes","No"
"21","No",38,"White Collar","Divorced","Unknown","No",0,"Yes","No"
"22","No",42,"White Collar","Divorced","Tertiary","No",16,"No","No"
"23","No",44,"Blue Collar","Single","Secondary","No",106,"No","No"
"24","No",44,"White Collar","Married","Secondary","No",93,"No","No"
"25","No",26,"Other/Unknown","Married","Tertiary","No",543,"No","No"
"26","No",41,"White Collar","Married","Tertiary","No",5883,"No","No"
"27","No",55,"Blue Collar","Married","Primary","No",627,"Yes","No"
"29","No",56,"White Collar","Married","Secondary","No",784,"No","Yes"
"30","No",53,"White Collar","Married","Secondary","No",105,"No","Yes"
"31","Yes",68,"Other/Unknown","Divorced","Secondary","No",4189,"No","No"
"32","No",31,"Blue Collar","Married","Secondary","No",171,"No","No"
"33","No",59,"White Collar","Married","Secondary","No",42,"No","No"
"34","Yes",32,"White Collar","Single","Tertiary","No",2536,"Yes","No"
"35","Yes",49,"Blue Collar","Married","Tertiary","No",1235,"No","No"
"36","No",42,"White Collar","Divorced","Secondary","No",1811,"Yes","No"
"37","Yes",78,"Other/Unknown","Divorced","Primary","No",229,"No","No"
"38","Yes",32,"Blue Collar","Married","Secondary","No",2089,"Yes","No"
"40","No",23,"Blue Collar","Single","Tertiary","No",363,"Yes","No"
"42","No",36,"White Collar","Single","Tertiary","No",553,"No","No"
"43","No",52,"Blue Collar","Married","Secondary","No",1117,"Yes","No"
"44","No",32,"Blue Collar","Married","Tertiary","No",396,"Yes","No"
"45","No",32,"Blue Collar","Single","Tertiary","No",2204,"Yes","No"
"46","No",34,"White Collar","Single","Tertiary","No",872,"Yes","No"
"48","No",26,"Blue Collar","Married","Primary","No",0,"Yes","No"
"49","No",32,"White Collar","Single","Primary","Yes",-849,"Yes","Yes"
"51","Yes",45,"Blue Collar","Divorced","Primary","No",844,"No","No"
"52","No",37,"Blue Collar","Single","Secondary","No",228,"Yes","No"
"53","No",38,"Blue Collar","Single","Secondary","No",50,"No","No"
"55","No",53,"Blue Collar","Married","Secondary","No",2231,"Yes","No"
"56","No",48,"White Collar","Married","Secondary","No",3064,"Yes","No"
"57","No",57,"White Collar","Married","Secondary","No",82,"No","Yes"
"58","No",33,"White Collar","Single","Tertiary","No",2155,"No","No"
"59","No",36,"Other/Unknown","Single","Secondary","No",101,"Yes","Yes"
"60","No",54,"Blue Collar","Divorced","Secondary","No",784,"Yes","Yes"
"61","No",41,"Blue Collar","Married","Primary","No",-516,"No","Yes"
"62","No",63,"Other/Unknown","Married","Secondary","No",415,"Yes","No"
"63","No",48,"White Collar","Married","Tertiary","No",5887,"No","No"
"64","No",48,"Blue Collar","Married","Secondary","No",1355,"No","No"
"65","No",56,"White Collar","Married","Secondary","No",16873,"No","No"
"67","No",31,"Blue Collar","Married","Secondary","No",338,"Yes","No"
